word1	word2	score_human	score_embeddings
love	sex	6.77	0.386642187833786
tiger	cat	7.35	0.5413389801979065
tiger	tiger	10.0	1.0
book	paper	7.46	0.47996288537979126
computer	keyboard	7.62	0.5425750017166138
computer	internet	7.58	0.5635607242584229
plane	car	5.77	0.3991735577583313
train	car	6.31	0.4429994225502014
telephone	communication	7.5	0.5411482453346252
television	radio	6.77	0.6301351189613342
media	radio	7.42	0.4481654465198517
drug	abuse	6.85	0.5768848657608032
bread	butter	6.19	0.7272146940231323
cucumber	potato	5.92	0.6386378407478333
doctor	nurse	7.0	0.6880643963813782
professor	doctor	6.62	0.4269964098930359
student	professor	6.81	0.5964575409889221
smart	student	4.62	0.24779607355594635
smart	stupid	5.81	0.5243902802467346
company	stock	7.08	0.39849188923835754
stock	market	8.08	0.5414044260978699
stock	phone	1.62	0.16884928941726685
stock	CD	1.31	0.18861447274684906
stock	jaguar	0.92	0.1481991708278656
stock	egg	1.81	0.2312878519296646
fertility	egg	6.69	0.3528153896331787
stock	live	3.73	0.15012480318546295
stock	life	0.92	0.20443934202194214
book	library	7.46	0.3822632133960724
bank	money	8.12	0.5666828751564026
wood	forest	7.73	0.48125168681144714
money	cash	9.15	0.8190670013427734
professor	cucumber	0.31	0.026717064902186394
king	cabbage	0.23	0.1668691635131836
king	queen	8.58	0.7252610325813293
king	rook	5.92	0.26049351692199707
bishop	rabbi	6.69	0.47548574209213257
Jerusalem	Israel	8.46	0.7047467827796936
Jerusalem	Palestinian	7.65	0.5749639272689819
holy	sex	1.62	0.22174072265625
fuck	sex	9.44	0.6579247117042542
Maradona	football	8.62	0.2671178877353668
football	soccer	9.03	0.8352941870689392
football	basketball	6.81	0.7925090789794922
football	tennis	6.63	0.5740177035331726
tennis	racket	7.56	0.4806954264640808
Arafat	peace	6.73	0.17386774718761444
Arafat	terror	7.65	0.10498752444982529
Arafat	Jackson	2.5	0.18341021239757538
law	lawyer	8.38	0.6289026141166687
movie	star	7.38	0.47375500202178955
movie	popcorn	6.19	0.3508419096469879
movie	critic	6.73	0.26543888449668884
movie	theater	7.92	0.5229608416557312
physics	proton	8.12	0.32877177000045776
physics	chemistry	7.35	0.6374086141586304
space	chemistry	4.88	0.196044921875
alcohol	chemistry	5.54	0.3066295087337494
vodka	gin	8.46	0.7343816757202148
vodka	brandy	8.13	0.6861117482185364
drink	car	3.04	0.24758483469486237
drink	ear	1.31	0.2341490387916565
drink	mouth	5.96	0.45083552598953247
drink	eat	6.87	0.6442053914070129
baby	mother	7.85	0.596307635307312
drink	mother	2.65	0.30437108874320984
car	automobile	8.94	0.7535857558250427
gem	jewel	8.96	0.6481918096542358
journey	voyage	9.29	0.6463991403579712
boy	lad	8.83	0.6757140755653381
coast	shore	9.1	0.7322569489479065
asylum	madhouse	8.87	0.3560560643672943
magician	wizard	9.02	0.532793402671814
midday	noon	9.29	0.6895918250083923
